date,movies,songs
20060202,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060203,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060204,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060205,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060206,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060207,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060208,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060209,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060210,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
20060211,"[""Mere Jeevan Saathi, https://en.wikipedia.org/wiki/Mere_Jeevan_Saathi_(2006_film)"", ""Rang De Basanti, https://en.wikipedia.org/wiki/Rang_De_Basanti""]","[""Tumko Dulhan Banayenge, https://www.youtube.com/watch?v=Gn5Lw8I4XIc"", ""Tasveer, https://www.youtube.com/watch?v=iiQWVZ9uXEY"", ""Deewani Main Deewani, https://www.youtube.com/watch?v=i5QP8zEABOs"", ""Rang De Basanti, https://www.youtube.com/watch?v=c769V25pX08"", ""Luka Chuppi, https://www.youtube.com/watch?v=FFpgYjL2aJo"", ""Tu Bin Bataye, https://www.youtube.com/watch?v=UqblLzBwlns"", ""Khalbali, https://www.youtube.com/watch?v=hnswwRWLi3E""]"
